Scientific Name,Common Name,Rarity Status
Abies bracteata,bristlecone fir,G2
Abies fraseri,Fraser fir,G2
Abies guatemalensis,Guatemalan fir,G3
Abies lasiocarpa var. arizonica,corkbark fir,G5T2T4Q
Abronia alpina,Ramshaw Meadows sand verbena,G2
Abronia ameliae,Amelia's sand verbena,G3
Abronia ammophila,Wyoming sand verbena,G1
Abronia argillosa,clay sand verbena,G3G4
Abronia bigelovii,Galisteo sand verbena,G3
Abronia gracilis,slender sand verbena,G2G4
Abronia insularis,island sand verbena,GUGHQ
Abronia macrocarpa,largefruit sand verbena,G2
Abronia minor,little sand verbena,G3?Q
Abronia nana var. covillei,Coville's dwarf sand verbena,G4T3
Abronia nana var. harrisii,Harris' dwarf sand verbena,G4T1Q
Abronia nana var. nana,dwarf sand verbena,G4T3T4
Abronia pogonantha,Mojave sand verbena,G3G4
Abronia umbellata ssp. breviflora,pink sand verbena,G4G5T2
Abronia villosa var. aurita,desert sand verbena,G5T3T4
Abutilon eremitopetalum,hiddenpetal Indian mallow,G1
Abutilon menziesii,ko'oloa 'ula,G1
Abutilon parishii,Parish's Indian mallow,G3
Abutilon sandwicense,greenflower Indian mallow,G1
Abutilon thurberi,Thurber's Indian mallow,G2G3
Acacia koaia,koaoha,G2
Acaena exigua,liliwai,G1
Acaena pinnatifida var. californica,California biddy-biddy,GNRT3?Q
Acamptopappus shockleyi,Shockley's goldenhead,G3?
Acanthomintha duttonii,San Mateo thorn-mint,G1
Acanthomintha ilicifolia,San Diego thorn-mint,G2
Acanthomintha lanceolata,Santa Clara thorn-mint,G3
Acanthomintha obovata,San Benito thorn-mint,G3?
Acanthomintha obovata ssp. cordata,heartleaf thorn-mint,G3?T3?
Acanthomintha obovata ssp. obovata,San Benito thorn-mint,G3?T3?
Acaulon schimperianum,Schimper's acaulon moss,G2G3
Acaulon triquetrum,acaulon moss,G2G4
Acer glabrum var. greenei,Greene's maple,G5T1T2
Acer negundo var. arizonicum,Arizona boxelder,G5T2T3Q
Achillea millefolium var. arenicola,common yarrow,G5T2T3
Achillea millefolium var. gigantea,giant yarrow,G5T2T3Q
Achillea millefolium var. litoralis,coast yarrow,G5T2T3
Achillea millefolium var. megacephala,common yarrow,G5T1
Achillea millefolium var. puberula,common yarrow,G5T2T3Q
Achnatherum contractum,contracted ricegrass,G3G4
Achnatherum curvifolium,Guadalupe ricegrass,G3
Achnatherum diegoense,San Diego needlegrass,G3
Achnatherum hendersonii,Henderson's needlegrass,G3
Achnatherum lemmonii var. pubescens,pubescent Lemmon's needlegrass,G5T1?Q
Achnatherum stillmanii,Stillman's needlegrass,G3
Achnatherum swallenii,Swallen's needlegrass,G3G4
Achnatherum wallowaense,Wallowa needlegrass,G2G3
Achyranthes mutica,blunt chaff flower,G1
Achyranthes splendens,Maui chaff flower,G2
Achyranthes splendens var. rotundata,Maui chaff flower,G2T1
Achyranthes splendens var. splendens,Maui chaff flower,G2T2
Acleisanthes crassifolia,Texas trumpets,G2
Acleisanthes wrightii,Wright's trumpets,G2
Aconitum delphiniifolium ssp. chamissonianum,larkspurleaf monkshood,G4G5T3?
Aconitum delphiniifolium ssp. paradoxum,larkspurleaf monkshood,G4G5T3?
Aconitum infectum,Arizona monkshood,G1Q
Aconitum noveboracense,northern blue monkshood,G3
Aconitum reclinatum,trailing white monkshood,G3
Acourtia microcephala,sacapellote,G3G4
Acrobolbus ciliatus,,G3?
Acrolejeunea heterophylla,,G2G4
Acroporium smallii,Small's acroporium moss,G1?
Actaea arizonica,Arizona bugbane,G2
Actaea elata,tall bugbane,G3
Actaea racemosa var. dissecta,black baneberry,G4THCQ
Actaea rubifolia,Appalachian bugbane,G3
Adelia vaseyi,Vasey's wild lime,G3
Adenophorus abietinus,elegant kihifern,G3
Adenophorus haalilioanus,island kihifern,G2G3
Adenophorus hymenophylloides,filmy kihifern,G2G3
Adenophorus oahuensis,Oahu kihifern,G2G3
Adenophorus periens,pendant kihifern,G1
Adenophorus pinnatifidus,graceful kihifern,G3
Adenophorus tamariscinus,wahini noho mauna,G3
Adenophorus tripinnatifidus,royal kihifern,G3
Adenophyllum wrightii,Wright's dogweed,G1?
Adiantum viridimontanum,Green Mountain maidenhair,G3
Adiantum vivesii,Puerto Rico maidenhair,G1
Adolphia californica,California prickbush,G3G4
Aeschynomene virginica,Virginia jointvetch,G2
Aesculus parviflora,bottlebrush buckeye,G3
Aesculus pavia var. flavescens,red buckeye,G5T3?
Agalinis acuta,sandplain false foxglove,G1
Agalinis aphylla,scaleleaf false foxglove,G3G4
Agalinis auriculata,earleaf false foxglove,G3
Agalinis caddoensis,Caddo false foxglove,GH
Agalinis calycina,leoncita false foxglove,G1
Agalinis densiflora,Osage false foxglove,G3
Agalinis divaricata,pineland false foxglove,G3?
Agalinis filicaulis,Jackson false foxglove,G3G4
Agalinis flexicaulis,Hampton false foxglove,G1
Agalinis laxa,twoline false foxglove,G3G4
Agalinis navasotensis,Navasota false foxglove,G1
Agalinis nuttallii,Nuttall's false foxglove,GHQ
Agalinis skinneriana,Skinner's false foxglove,G3G4
Agalinis tenuifolia var. polyphylla,slenderleaf false foxglove,G5T3
Agastache cusickii,Cusick's giant hyssop,G3G4
Agastache mearnsii,San Luis Mountain giant hyssop,G3?
Agastache occidentalis,western giant hyssop,G3?
Agastache pringlei,Pringle's giant hyssop,G3G4
Agastache pringlei var. verticillata,Pringle's giant hyssop,G3G4T2
Agastache rupestris,threadleaf giant hyssop,G3?
Agave delamateri,Tonto Basin century plant,G2
Agave eggersiana,Eggers' century plant,G1
Agave glomeruliflora,Chisos Mountain century plant,G2Q
Agave murpheyi,Murphey's century plant,G2?
Agave neglecta,wild century plant,G2G3
Agave parviflora,smallflower century plant,G3
Agave phillipsiana,Grand Canyon century plant,G1?
Agave schottii var. treleasei,Trelease's century plant,G5T1Q
Agave shawii,coastal agave,G2G3
Agave toumeyana,Toumey's century plant,G3
Agave toumeyana var. bella,Toumey's century plant,G3T3
Agave toumeyana var. toumeyana,Toumey's century plant,G3T3
Agave utahensis var. eborispina,Utah agave,G4T3Q
Agave utahensis var. kaibabensis,Kaibab agave,G4T3
Agave utahensis var. nevadensis,Nevada agave,G4T3Q
Agave utahensis var. utahensis,Utah agave,G4T3?
Ageratina altissima var. roanensis,white snakeroot,G5T3T4
Ageratina lemmonii,Lemmon's snakeroot,G3?
Ageratina luciae-brauniae,Lucy Braun's snakeroot,G3
Ageratina paupercula,Santa Rita snakeroot,G3G4
Ageratina shastensis,Shasta snakeroot,G2
Ageratum littorale,Cape Sable whiteweed,G2G3
Agoseris apargioides var. apargioides,woolly goat chicory,G4G5T3?
Agoseris apargioides var. eastwoodiae,woolly goat chicory,G4G5T3T4
Agoseris heterophylla var. turgida,annual agoseris,G5T1T3Q
Agrimonia incisa,incised agrimony,G3
Agrostis blasdalei,Blasdale bentgrass,G2
Agrostis clivicola,coastal bluff bentgrass,G3?Q
Agrostis clivicola var. clivicola,coastal bluff bentgrass,G3?QT3?Q
Agrostis clivicola var. punta-reyesensis,Point Reyes bentgrass,G3?QT1Q
Agrostis densiflora,California bentgrass,G3G4
Agrostis hendersonii,Henderson's bentgrass,G1Q
Agrostis hooveri,Hoover's bentgrass,G2
Agrostis howellii,Howell's bentgrass,G2
Agrostis lacuna-vernalis,vernal pool bentgrass,G1
Agrostis rossiae,Ross' bentgrass,G1
Agrostis sandwicensis,Hawai'i bentgrass,G3
Alchemilla filicaulis ssp. filicaulis,thin-stem lady's mantle,G4T3?
Alchemilla filicaulis ssp. vestita,thinstem lady's mantle,G4T2T4
Alectryon macrococcus,Hawai'i alectryon,G1
Alectryon macrococcus var. auwahiensis,Hawai'i alectryon,G1T1
Alectryon macrococcus var. macrococcus,Hawai'i alectryon,G1T1
Aletes anisatus,Rocky Mountain Indian parsley,G3G4
Aletes humilis,Colorado aletes,G2G3
Aletes macdougalii,MacDougal's Indian parsley,G3
Aletes macdougalii ssp. breviradiatus,MacDougal's Indian parsley,G3T2T3
Aletes macdougalii ssp. macdougalii,MacDougal's Indian parsley,G3T2
Aletes sessiliflorus,sessileflower Indian parsley,G3
Aletris bracteata,bracted colicroot,G2
Allium aaseae,South Idaho onion,G3
Allium abramsii,Abrams' allium,G2G3
